Board: 881755-0020_DV_T2_004533, Operator:         v510,  05-Jun-2025 02:11:07, BC: P5155519800881755010020 L0 R1.5.5.6A1 0 21 ProductName:R1.5.5.6A1
RefDes	DeviceType	dX	dY	X	Y	Threshold	Orientation	Height	ErrorCode	Remark

1:c601-1 b_ecap_tpk-306245-4r7ea  253  253   -4   17     0 -1085500000     0   0 BodyDisplay
1:c601-1 b_ecap_tpk-306245-4r7ea    0    0    0    0 25000   270 25724   0 BodyTopOffset
1:c601-1 b_ecap_tpk-306245-4r7ea    0    0    0    0 25000   270 25724   0 BodyBotOffset
1:c601-1 b_ecap_tpk-306245-4r7ea    0    0    0    0 22300   270  6457   0 BodyHorOffset
1:c601-1 b_ecap_tpk-306245-4r7ea    0    0    0    0 5000000   270 -1085500000   0 BodySkew
1:c601-1 b_ecap_tpk-306245-4r7ea  253  253   -4  -12     0 -1085500000     0   0 BodyTypeOffset
2:c608-2 ctpk-718875-474k1c   97   50    1   -9     0 -2147483648     0   0 BodyDisplay
2:c608-2 ctpk-718875-474k1c    0    0    0    0 15000    90 12014   0 BodyTopOffset
2:c608-2 ctpk-718875-474k1c    0    0    0    0 15000    90 16023   0 BodyBotOffset
2:c608-2 ctpk-718875-474k1c    0    0    0    0 15000    90  2192   0 BodyHorOffset
2:c608-2 ctpk-718875-474k1c    0    0    0    0 7000000    90 -2147483648   0 BodySkew
2:c608-2 ctpk-718875-474k1c   97   50    0    0     0 -2147483648     0   0 BodyTypeOffset
2:j1000-2 b-conn-326010-0020 1006  765    2  -17     0 -2147483648     0   0 BodyDisplay
2:j1000-2 b-conn-326010-0020    0    0    0    0 26500   106 28127   0 BodyTopOffset
2:j1000-2 b-conn-326010-0020    0    0    0    0 26500   106 23772   0 BodyBotOffset
2:j1000-2 b-conn-326010-0020    0    0    0    0 26500   106  3694   0 BodyHorOffset
2:j1000-2 b-conn-326010-0020    0    0    0    0 7000000   106 -2147483648   0 BodySkew
2:j1000-2 b-conn-326010-0020 1006  765    0   21     0 -2147483648     0   0 BodyTypeOffset
2:j1800-2 bcon-269863-026  211  993   14   -6     0 1589200000     0   0 BodyDisplay
2:j1800-2 bcon-269863-026    0    0    0    0 25000   180 -18981   0 BodyTopOffset
2:j1800-2 bcon-269863-026    0    0    0    0 25000   180 -25213   0 BodyBotOffset
2:j1800-2 bcon-269863-026    0    0    0    0 25000   180  9461   0 BodyHorOffset
2:j1800-2 bcon-269863-026    0    0    0    0 5000000   180 1589200000   0 BodySkew
2:j1800-2 bcon-269863-026  211  993  -17    5     0 1589200000     0   0 BodyTypeOffset
2:q1002-2 b_sot23_tpk-356154-0010   85  186   11   -7     0 -2147483648     0   0 BodyDisplay
2:q1002-2 b_sot23_tpk-356154-0010    0    0    0    0 17500   270 -4699   0 BodyTopOffset
2:q1002-2 b_sot23_tpk-356154-0010    0    0    0    0 17500   270 -16818   0 BodyBotOffset
2:q1002-2 b_sot23_tpk-356154-0010    0    0    0    0 17500   270 -17599   0 BodyHorOffset
2:q1002-2 b_sot23_tpk-356154-0010    0    0    0    0 5000000   270 -2147483648   0 BodySkew
2:q1002-2 b_sot23_tpk-356154-0010   85  186    0    0     0 -2147483648     0   0 BodyTypeOffset
2:r1736-2 r0201_tpk-806732-0201   20   40   -1    8     0 -2147483648     0   0 BodyDisplay
2:r1736-2 r0201_tpk-806732-0201    0    0    0    0 12000   135 12479   0 BodyTopOffset
2:r1736-2 r0201_tpk-806732-0201    0    0    0    0 12000   135 12734   0 BodyBotOffset
2:r1736-2 r0201_tpk-806732-0201    0    0    0    0 12000   135 -1921   0 BodyHorOffset
2:r1736-2 r0201_tpk-806732-0201    0    0    0    0 5000000   135 -2147483648   0 BodySkew
2:r1736-2 r0201_tpk-806732-0201   20   40    0    0     0 -2147483648     0   0 BodyTypeOffset
